pos,season,pts,ast,trb,stl,blk,num_players
C,1947,295.44,22.5,0.0,0.0,0.0,16
C,1948,460.89,34.67,0.0,0.0,0.0,9
C,1949,579.0,101.33,0.0,0.0,0.0,15
C,1950,604.78,97.13,0.0,0.0,0.0,23
C,1951,859.4,133.73,580.87,0.0,0.0,15
C,1952,607.26,103.16,439.89,0.0,0.0,19
C,1953,771.06,135.06,575.41,0.0,0.0,17
C,1954,829.73,112.8,584.27,0.0,0.0,15
C,1955,790.2,110.67,549.47,0.0,0.0,15
C,1956,834.89,118.11,562.44,0.0,0.0,18
C,1957,760.94,81.59,547.18,0.0,0.0,17
C,1958,816.75,85.94,666.06,0.0,0.0,16
C,1959,669.18,72.24,583.18,0.0,0.0,17
C,1960,902.83,104.89,716.72,0.0,0.0,18
C,1961,873.0,113.29,723.82,0.0,0.0,17
C,1962,979.72,117.28,700.0,0.0,0.0,18
C,1963,866.74,113.16,655.05,0.0,0.0,19
C,1964,811.0,107.45,614.35,0.0,0.0,20
C,1965,912.53,121.79,752.21,0.0,0.0,19
C,1966,890.78,135.83,777.67,0.0,0.0,18
C,1967,658.83,122.92,608.25,0.0,0.0,24
C,1968,674.8,97.16,564.93,0.0,0.0,55
C,1969,855.83,117.45,714.58,0.0,0.0,60
C,1970,867.55,117.8,664.91,0.0,0.0,55
C,1971,790.11,118.13,627.4,0.0,0.0,70
C,1972,824.06,123.11,654.5,0.0,6.39,66
C,1973,688.33,127.1,570.02,1.19,15.84,63
C,1974,669.03,120.37,528.48,39.94,76.58,65
C,1975,705.11,128.83,548.59,43.55,75.48,66
C,1976,682.31,127.71,536.43,43.82,75.03,65
C,1977,735.3,125.05,549.27,46.5,88.39,56
C,1978,792.51,137.84,558.92,50.96,85.61,49
C,1979,760.62,141.92,534.28,47.02,83.75,53
C,1980,743.13,145.0,511.7,49.58,75.94,53
C,1981,699.42,120.58,442.37,40.58,69.91,57
C,1982,673.98,98.55,423.16,36.41,75.57,58
C,1983,628.42,101.8,406.41,37.64,73.57,69
C,1984,685.52,100.06,413.98,37.08,69.88,64
C,1985,581.63,79.47,380.76,31.28,69.32,68
C,1986,582.32,76.26,365.58,32.86,72.96,69
C,1987,550.5,73.47,360.72,32.25,65.34,64
C,1988,620.17,78.1,398.74,34.72,72.87,69
C,1989,554.38,65.88,371.57,35.05,68.97,74
C,1990,539.45,63.97,361.53,33.46,67.13,78
C,1991,519.79,61.51,375.38,33.01,65.78,80
C,1992,454.74,59.55,315.26,29.6,64.69,78
C,1993,460.33,60.96,312.67,29.03,58.74,78
C,1994,479.33,65.86,304.03,31.66,57.36,88
C,1995,496.23,57.27,321.54,29.54,62.08,79
C,1996,493.31,55.69,326.5,29.29,66.11,84
C,1997,412.71,48.74,300.01,27.05,56.92,91
C,1998,494.98,60.96,346.26,33.14,67.42,85
C,1999,257.98,29.41,188.09,18.93,34.46,92
C,2000,430.1,48.93,307.93,25.98,59.61,87
C,2001,398.78,45.46,324.48,27.82,61.81,93
C,2002,388.56,42.7,290.9,26.62,53.6,98
C,2003,370.69,49.98,284.02,27.8,52.84,101
C,2004,368.36,47.12,293.23,26.96,55.41,99
C,2005,358.09,38.44,266.02,22.93,47.43,108
C,2006,352.09,38.1,271.53,22.28,47.69,102
C,2007,437.04,52.7,311.66,25.62,53.1,96
C,2008,468.13,58.73,339.3,27.0,53.97,102
C,2009,477.47,60.22,335.78,27.24,56.2,99
C,2010,462.9,59.65,322.36,25.77,54.04,94
C,2011,428.92,53.94,303.73,26.76,50.58,105
C,2012,310.95,39.13,239.46,22.98,42.06,101
C,2013,437.59,56.75,319.52,28.62,54.93,96
C,2014,439.03,59.32,327.61,27.45,49.42,92
C,2015,506.72,65.31,377.17,30.62,57.76,87
C,2016,490.33,64.91,344.27,30.8,54.62,92
C,2017,547.27,78.6,365.24,34.32,52.13,98
C,2018,511.6,80.01,348.16,30.71,46.36,105
C,2019,602.02,97.75,404.89,35.17,55.8,96
C,2020,390.72,59.57,263.71,24.34,41.04,114
C,2021,493.71,74.67,327.4,28.45,48.0,100
C,2022,478.59,77.53,324.87,28.51,41.04,108
C,2023,550.95,90.63,353.72,28.86,48.82,100
C,2024,525.67,99.93,339.63,31.62,49.89,98
C-F,1947,471.3,39.6,0.0,0.0,0.0,10
C-F,1948,400.89,23.67,0.0,0.0,0.0,9
C-F,1949,457.33,80.47,0.0,0.0,0.0,15
C-F,1950,508.1,95.5,0.0,0.0,0.0,10
C-F,1951,627.0,113.2,396.0,0.0,0.0,5
C-F,1953,152.5,40.0,118.5,0.0,0.0,2
C-F,1954,64.0,9.0,46.0,0.0,0.0,1
C-F,1955,120.5,24.0,68.0,0.0,0.0,2
C-F,1957,36.0,2.5,36.5,0.0,0.0,2
C-F,1958,37.0,5.0,24.0,0.0,0.0,1
C-F,1969,38.0,4.0,31.0,0.0,0.0,1
C-F,1971,54.0,4.0,33.0,0.0,0.0,2
C-PF,1967,744.5,96.5,474.5,0.0,0.0,2
C-PF,1968,580.5,103.5,375.0,0.0,0.0,2
C-PF,1969,305.0,28.0,224.0,0.0,0.0,1
C-PF,1973,323.0,55.0,300.0,0.0,0.0,1
C-PF,1974,736.0,94.0,393.0,28.0,33.0,1
C-PF,1975,471.0,105.0,757.0,30.0,20.0,1
C-PF,1976,912.0,127.0,616.5,52.5,64.5,2
C-PF,1983,37.0,3.0,41.0,6.0,1.0,1
C-PF,1985,174.0,26.0,184.0,22.0,79.0,1
C-PF,1988,749.0,122.0,462.0,41.0,88.0,1
C-PF,2001,728.0,124.0,365.0,71.0,46.0,1
C-PF,2004,158.6,11.0,140.8,14.6,21.0,5
C-PF,2005,257.6,41.2,179.8,25.8,40.2,5
C-PF,2006,372.0,28.0,263.5,22.0,21.0,2
C-PF,2008,300.67,62.0,400.0,50.33,70.33,3
C-PF,2010,763.0,47.0,542.0,41.0,58.0,1
C-PF,2011,212.25,18.25,129.0,14.25,19.25,4
C-PF,2012,67.0,9.0,58.0,9.0,11.0,1
C-PF,2013,623.0,63.0,460.0,38.0,85.0,1
C-PF,2019,323.0,45.0,202.0,21.0,51.0,1
C-PF,2020,39.0,4.0,38.0,3.0,6.0,1
C-PF,2021,525.5,113.5,278.0,41.5,37.0,2
C-PF,2022,321.0,81.0,248.0,43.0,20.0,1
C-PF,2024,432.33,72.33,318.33,42.33,72.0,3
C-SF,1976,341.0,47.0,259.0,12.0,13.0,1
F,1947,202.48,21.61,0.0,0.0,0.0,44
F,1948,164.78,17.67,0.0,0.0,0.0,18
F,1949,161.68,37.2,0.0,0.0,0.0,25
F,1950,236.59,45.18,0.0,0.0,0.0,22
F,1951,217.81,49.56,137.38,0.0,0.0,16
F,1952,22.8,5.4,14.4,0.0,0.0,5
F,1953,18.8,4.8,19.8,0.0,0.0,5
F,1954,24.5,5.5,16.83,0.0,0.0,6
F,1955,14.0,2.0,15.33,0.0,0.0,3
F,1956,80.75,18.25,53.75,0.0,0.0,4
F,1957,7.75,0.5,9.5,0.0,0.0,4
F,1958,5.25,2.25,4.75,0.0,0.0,4
F,1959,104.67,18.33,76.67,0.0,0.0,3
F,1960,30.33,5.33,29.0,0.0,0.0,3
F,1961,74.0,4.0,58.0,0.0,0.0,1
F,1962,40.0,2.25,22.25,0.0,0.0,4
F,1963,48.0,10.8,23.0,0.0,0.0,5
F,1964,2.0,0.0,0.0,0.0,0.0,1
F,1965,18.0,2.0,13.0,0.0,0.0,1
F,1966,2.0,1.0,1.0,0.0,0.0,1
F,1967,38.0,1.0,38.0,0.0,0.0,1
F,1968,32.6,3.4,23.6,0.0,0.0,10
F,1969,21.67,2.17,16.17,0.0,0.0,6
F,1970,25.86,3.71,15.14,0.0,0.0,7
F,1971,52.1,6.9,37.5,0.0,0.0,10
F,1972,10.62,1.5,8.5,0.0,0.0,8
F-C,1947,352.0,36.77,0.0,0.0,0.0,13
F-C,1948,352.2,33.0,0.0,0.0,0.0,10
F-C,1949,444.27,103.87,0.0,0.0,0.0,15
F-C,1950,519.92,113.27,0.0,0.0,0.0,26
F-C,1951,472.6,105.8,402.4,0.0,0.0,10
F-C,1952,17.0,9.0,31.0,0.0,0.0,1
F-C,1953,249.0,72.0,197.0,0.0,0.0,2
F-C,1954,56.0,7.0,37.0,0.0,0.0,1
F-C,1955,107.0,32.0,49.0,0.0,0.0,1
F-C,1957,195.0,22.0,167.0,0.0,0.0,1
F-C,1960,518.0,84.0,341.0,0.0,0.0,1
F-C,1962,8.0,2.0,9.0,0.0,0.0,1
F-C,1963,697.0,66.0,367.0,0.0,0.0,1
F-C,1964,1.0,0.0,4.0,0.0,0.0,1
F-C,1968,112.0,6.0,50.0,0.0,0.0,1
F-C,1969,31.0,1.0,18.0,0.0,0.0,2
F-C,1970,310.0,22.0,94.0,0.0,0.0,1
F-C,1971,375.5,48.5,188.0,0.0,0.0,2
F-G,1947,352.82,32.45,0.0,0.0,0.0,11
F-G,1948,316.0,26.14,0.0,0.0,0.0,7
F-G,1949,440.29,101.1,0.0,0.0,0.0,21
F-G,1950,390.19,114.1,0.0,0.0,0.0,21
F-G,1951,252.0,77.29,125.14,0.0,0.0,7
F-G,1952,36.0,12.0,24.0,0.0,0.0,1
F-G,1953,205.5,36.5,93.0,0.0,0.0,2
F-G,1956,22.0,12.0,13.0,0.0,0.0,1
F-G,1957,18.0,2.0,7.0,0.0,0.0,1
F-G,1959,678.0,115.0,303.0,0.0,0.0,1
F-G,1966,100.0,22.0,34.0,0.0,0.0,1
F-G,1967,12.0,0.0,0.0,0.0,0.0,1
F-G,1968,26.0,4.5,25.0,0.0,0.0,2
F-G,1969,0.0,1.0,1.0,0.0,0.0,1
F-G,1970,0.0,0.0,0.0,0.0,0.0,1
G,1947,314.96,39.09,0.0,0.0,0.0,47
G,1948,222.77,29.19,0.0,0.0,0.0,26
G,1949,301.56,89.78,0.0,0.0,0.0,32
G,1950,327.84,98.33,0.0,0.0,0.0,43
G,1951,464.94,140.88,151.88,0.0,0.0,16
G,1952,90.33,34.0,44.0,0.0,0.0,3
G,1953,67.5,17.83,22.83,0.0,0.0,6
G,1954,35.2,13.6,13.2,0.0,0.0,5
G,1955,13.33,5.33,7.67,0.0,0.0,3
G,1956,142.5,60.5,45.5,0.0,0.0,2
G,1957,9.0,3.25,3.25,0.0,0.0,4
G,1958,11.5,2.5,5.0,0.0,0.0,4
G,1959,84.67,24.67,37.33,0.0,0.0,3
G,1960,47.33,11.67,26.33,0.0,0.0,3
G,1961,15.0,10.0,5.5,0.0,0.0,2
G,1962,4.67,3.0,2.67,0.0,0.0,3
G,1963,2.0,7.0,6.0,0.0,0.0,1
G,1964,38.5,21.25,22.5,0.0,0.0,4
G,1965,14.0,4.0,4.0,0.0,0.0,1
G,1966,3.67,1.67,4.33,0.0,0.0,3
G,1967,21.0,15.0,21.0,0.0,0.0,1
G,1968,24.11,3.22,9.89,0.0,0.0,9
G,1969,16.1,4.7,7.0,0.0,0.0,10
G,1970,26.62,7.0,6.5,0.0,0.0,8
G,1971,28.2,10.9,11.6,0.0,0.0,10
G,1972,40.25,12.75,15.5,0.0,0.0,4
G-F,1947,412.08,46.92,0.0,0.0,0.0,12
G-F,1948,278.18,33.94,0.0,0.0,0.0,17
G-F,1949,437.15,120.59,0.0,0.0,0.0,27
G-F,1950,397.06,127.06,0.0,0.0,0.0,32
G-F,1951,292.93,103.86,150.5,0.0,0.0,14
G-F,1952,23.0,9.0,15.0,0.0,0.0,1
G-F,1953,83.5,26.0,42.0,0.0,0.0,2
G-F,1954,23.0,16.0,31.0,0.0,0.0,1
G-F,1955,119.5,33.5,51.0,0.0,0.0,4
G-F,1958,59.0,16.0,53.0,0.0,0.0,1
G-F,1959,250.0,85.0,140.0,0.0,0.0,1
G-F,1960,256.5,66.5,95.0,0.0,0.0,2
G-F,1962,67.5,21.5,32.5,0.0,0.0,2
G-F,1963,51.5,16.5,18.0,0.0,0.0,2
G-F,1964,2.0,0.0,1.0,0.0,0.0,1
G-F,1966,32.0,9.0,11.0,0.0,0.0,1
G-F,1969,24.0,0.0,11.0,0.0,0.0,1
G-F,1970,37.0,5.0,14.0,0.0,0.0,2
PF,1947,1389.0,25.0,0.0,0.0,0.0,1
PF,1948,949.0,26.0,0.0,0.0,0.0,1
PF,1949,629.4,59.4,0.0,0.0,0.0,5
PF,1950,812.64,169.5,0.0,0.0,0.0,14
PF,1951,660.31,147.62,437.08,0.0,0.0,13
PF,1952,603.86,137.29,465.67,0.0,0.0,21
PF,1953,622.95,138.14,484.57,0.0,0.0,21
PF,1954,559.09,124.09,480.86,0.0,0.0,22
PF,1955,663.76,136.9,514.71,0.0,0.0,21
PF,1956,733.65,162.24,522.06,0.0,0.0,17
PF,1957,797.28,124.33,569.5,0.0,0.0,18
PF,1958,754.8,103.05,531.05,0.0,0.0,20
PF,1959,790.06,95.53,489.71,0.0,0.0,17
PF,1960,844.62,94.88,580.0,0.0,0.0,16
PF,1961,855.75,117.19,581.06,0.0,0.0,16
PF,1962,712.64,92.73,508.41,0.0,0.0,22
PF,1963,638.71,77.92,406.79,0.0,0.0,24
PF,1964,917.4,122.85,655.45,0.0,0.0,20
PF,1965,786.68,107.5,598.27,0.0,0.0,22
PF,1966,863.41,105.64,633.14,0.0,0.0,22
PF,1967,634.93,74.3,466.48,0.0,0.0,27
PF,1968,847.17,94.04,569.81,0.0,0.0,54
PF,1969,829.63,107.73,552.4,0.0,0.0,60
PF,1970,875.27,127.1,611.37,0.0,0.0,59
PF,1971,744.56,108.31,513.99,0.0,0.0,68
PF,1972,670.82,101.15,476.67,0.0,0.0,73
PF,1973,707.53,103.36,451.96,6.84,6.41,73
PF,1974,765.94,118.94,513.53,53.02,43.9,62
PF,1975,746.48,117.67,469.75,55.4,36.88,67
PF,1976,634.51,96.64,415.0,49.69,38.4,72
PF,1977,715.32,103.88,441.95,56.25,40.96,57
PF,1978,734.63,118.22,485.78,59.59,48.91,54
PF,1979,754.39,114.82,448.35,53.47,50.12,51
PF,1980,750.62,124.36,449.44,55.96,50.8,55
PF,1981,671.36,108.22,409.19,51.12,49.81,59
PF,1982,644.06,96.25,380.91,44.66,48.61,67
PF,1983,745.77,116.92,442.53,53.05,52.2,60
PF,1984,597.14,97.48,349.11,41.97,43.13,63
PF,1985,690.16,99.79,389.79,44.27,43.24,62
PF,1986,579.21,85.1,355.81,40.07,36.2,70
PF,1987,598.52,80.42,350.79,38.18,42.43,77
PF,1988,658.11,86.86,382.6,42.05,40.6,65
PF,1989,640.72,85.75,355.82,45.75,40.05,76
PF,1990,650.58,82.9,345.92,42.68,39.6,80
PF,1991,550.78,75.47,314.11,36.86,34.4,87
PF,1992,647.79,89.15,404.01,42.16,42.18,80
PF,1993,651.19,95.63,381.18,42.97,41.16,90
PF,1994,563.44,88.82,362.81,42.36,37.99,90
PF,1995,549.8,80.46,340.1,40.12,36.38,89
PF,1996,535.91,73.99,328.49,37.4,36.66,100
PF,1997,504.11,70.04,314.17,36.26,32.96,103
PF,1998,550.06,82.31,341.89,42.1,35.57,93
PF,1999,313.36,42.32,196.26,23.87,21.41,95
PF,2000,516.01,77.04,312.06,37.2,35.6,98
PF,2001,573.1,88.57,340.96,41.01,42.62,90
PF,2002,550.36,88.18,335.09,38.92,42.72,87
PF,2003,553.23,88.31,326.43,39.35,37.16,83
PF,2004,547.51,85.08,332.23,40.6,41.84,104
PF,2005,601.71,85.61,349.34,40.44,40.53,94
PF,2006,567.87,83.13,320.31,34.69,34.33,95
PF,2007,463.91,65.72,268.51,30.39,25.88,109
PF,2008,501.8,68.1,290.53,36.24,32.86,100
PF,2009,549.21,67.65,292.56,35.5,31.45,94
PF,2010,615.07,74.0,342.91,40.07,37.58,91
PF,2011,577.62,72.47,330.03,36.49,35.52,89
PF,2012,429.8,54.43,258.8,29.06,30.67,98
PF,2013,540.43,76.83,313.92,36.97,35.5,100
PF,2014,596.53,80.59,332.47,38.83,37.08,98
PF,2015,519.79,77.72,302.7,37.25,33.94,109
PF,2016,488.62,75.82,286.68,33.67,31.76,105
PF,2017,503.98,76.07,269.08,33.4,30.07,103
PF,2018,532.33,84.3,259.76,32.8,27.36,105
PF,2019,524.77,84.73,265.52,31.92,25.77,109
PF,2020,440.05,74.85,217.3,28.04,20.84,117
PF,2021,414.62,81.56,196.12,28.43,20.87,120
PF,2022,553.83,93.71,260.36,36.05,30.5,110
PF,2023,554.85,98.79,260.73,33.68,26.41,99
PF,2024,535.09,101.7,222.55,31.71,24.47,116
PF-C,1960,674.0,69.0,614.0,0.0,0.0,1
PF-C,1962,137.0,16.0,77.0,0.0,0.0,1
PF-C,1971,220.0,19.0,152.0,0.0,0.0,1
PF-C,1972,475.0,26.0,234.0,0.0,0.0,1
PF-C,1973,971.0,139.0,777.0,0.0,0.0,1
PF-C,1976,1460.0,224.0,970.0,75.0,57.0,1
PF-C,1978,63.0,10.0,50.0,3.0,3.0,1
PF-C,1979,1487.0,168.0,520.0,74.0,67.0,1
PF-C,1983,31.0,11.0,46.0,3.0,7.0,1
PF-C,1987,176.0,17.0,116.0,20.0,6.0,1
PF-C,1989,7.0,0.0,5.0,0.0,0.0,1
PF-C,1993,36.0,5.0,55.0,5.0,17.0,1
PF-C,1996,138.0,27.0,90.0,14.0,33.0,1
PF-C,1997,177.0,20.5,178.5,16.0,21.5,2
PF-C,1999,177.0,24.0,288.0,25.0,18.0,1
PF-C,2004,187.5,37.0,179.5,28.0,18.5,2
PF-C,2005,253.5,38.5,148.0,14.5,12.0,2
PF-C,2006,203.5,25.5,218.0,24.0,26.5,2
PF-C,2007,89.0,18.0,53.0,6.0,8.0,1
PF-C,2009,658.5,78.0,381.0,30.0,17.5,2
PF-C,2010,378.33,87.67,429.0,57.67,81.0,3
PF-C,2013,56.0,8.0,37.0,6.0,0.0,1
PF-C,2016,425.0,71.0,234.0,29.0,28.0,1
PF-C,2017,375.0,70.0,251.0,25.0,6.0,1
PF-C,2019,65.0,14.0,52.0,3.0,7.0,1
PF-C,2020,353.0,54.2,177.4,34.6,32.0,5
PF-C,2021,380.0,29.0,231.0,26.0,75.0,1
PF-C,2022,1171.0,323.0,752.0,59.0,27.0,1
PF-C,2024,565.0,97.0,487.0,46.0,68.0,1
PF-SF,1969,287.0,17.0,150.0,0.0,0.0,1
PF-SF,1970,517.0,43.0,304.0,0.0,0.0,1
PF-SF,1976,795.0,142.0,530.0,50.0,37.0,1
PF-SF,1977,946.0,102.0,471.0,63.0,49.0,1
PF-SF,1988,24.0,6.0,14.0,2.0,1.0,1
PF-SF,1990,30.5,1.5,23.0,3.0,7.5,2
PF-SF,1992,291.0,41.0,102.0,16.0,6.0,1
PF-SF,1993,41.0,3.0,19.0,2.0,2.0,1
PF-SF,1995,976.0,279.0,572.0,132.0,62.0,1
PF-SF,2000,374.0,97.0,301.0,33.0,21.0,1
PF-SF,2004,341.0,38.0,143.0,15.0,8.0,1
PF-SF,2005,494.0,74.0,182.0,29.0,16.0,1
PF-SF,2006,210.67,25.0,104.0,17.33,6.33,3
PF-SF,2008,46.5,3.0,32.5,7.0,11.5,2
PF-SF,2009,867.0,102.0,361.0,39.0,33.0,1
PF-SF,2010,313.0,66.0,282.0,45.0,57.0,2
PF-SF,2011,984.0,106.0,332.5,52.0,32.0,2
PF-SF,2012,55.0,35.0,49.0,5.0,1.0,1
PF-SF,2013,596.0,62.0,277.0,45.0,20.0,1
PF-SF,2014,224.0,36.0,146.0,30.0,14.0,1
PF-SF,2015,443.0,69.0,195.0,37.0,8.0,1
PF-SF,2019,785.0,98.5,288.0,37.5,17.0,2
PF-SF,2020,222.67,33.0,127.0,26.67,19.0,3
PF-SF,2021,156.5,37.5,102.0,21.5,13.5,2
PF-SF,2022,163.0,38.0,77.0,15.0,6.0,1
PF-SF,2023,698.33,102.67,203.67,26.67,30.33,3
PF-SF,2024,280.0,55.0,108.0,14.0,6.0,1
PG,1947,547.0,46.0,0.0,0.0,0.0,2
PG,1948,501.5,55.0,0.0,0.0,0.0,2
PG,1949,605.67,201.0,0.0,0.0,0.0,6
PG,1950,620.36,223.27,0.0,0.0,0.0,11
PG,1951,727.6,273.5,269.3,0.0,0.0,10
PG,1952,542.18,217.18,200.24,0.0,0.0,17
PG,1953,466.85,170.85,162.04,0.0,0.0,26
PG,1954,497.95,205.3,189.6,0.0,0.0,20
PG,1955,487.39,235.94,180.78,0.0,0.0,18
PG,1956,644.4,301.87,239.8,0.0,0.0,15
PG,1957,691.07,233.57,263.29,0.0,0.0,14
PG,1958,591.07,224.33,234.2,0.0,0.0,15
PG,1959,644.3,225.95,256.8,0.0,0.0,20
PG,1960,536.6,227.55,199.2,0.0,0.0,20
PG,1961,744.26,272.05,254.32,0.0,0.0,19
PG,1962,732.29,264.5,248.96,0.0,0.0,24
PG,1963,727.37,285.53,229.58,0.0,0.0,19
PG,1964,754.81,269.0,247.62,0.0,0.0,21
PG,1965,801.4,241.05,222.3,0.0,0.0,20
PG,1966,995.55,296.65,259.85,0.0,0.0,20
PG,1967,843.77,291.68,223.36,0.0,0.0,22
